Майлз Блетчли/SLYTHERIN
Люциан Боул/SLYTHERIN
Милисента Булстроуд/SLYTHERIN
Малькольм Бэддок/SLYTHERIN
Дафна Гринграсс/SLYTHERIN
Грегори Гойл/SLYTHERIN
Перегрин Деррек/SLYTHERIN
Трейси Дэвис/SLYTHERIN
Блейз Забини/SLYTHERIN
Винсент Крэбб/SLYTHERIN
Гестия Кэрроу/SLYTHERIN
Флора Кэрроу/SLYTHERIN
Драко Малфой/SLYTHERIN
Агнес Монкли/SLYTHERIN
Грэхэм Монтегю/SLYTHERIN
Теодор Нотт/SLYTHERIN
Пэнси Паркинсон/SLYTHERIN
Грэхэм Причард/SLYTHERIN
Эдриан Пьюси/SLYTHERIN
Имоджен Стреттон/SLYTHERIN
Кассиус Уоррингтон/SLYTHERIN
Джемма Фарли/SLYTHERIN
Маркус Флинт/SLYTHERIN
Теренс Хиггс/SLYTHERIN
Кэти Белл/GRYFFINDOR
Лаванда Браун/GRYFFINDOR
Ромильда Вейн/GRYFFINDOR
Оливер Вуд/GRYFFINDOR
Гермиона Грейнджер/GRYFFINDOR
Фэй Данбар/GRYFFINDOR
Анджелина Джонсон/GRYFFINDOR
Ли Джордан/GRYFFINDOR
Невилл Долгопупс/GRYFFINDOR
Келла/GRYFFINDOR
Деннис Криви/GRYFFINDOR
Колин Криви/GRYFFINDOR
Ричи Кут/GRYFFINDOR
Натали МакДональд/GRYFFINDOR
Кормак Маклагген/GRYFFINDOR
Элоиза Миджен/GRYFFINDOR
Ангус Мэтлок/GRYFFINDOR
Риона О'Нил/GRYFFINDOR
Парвати Патил/GRYFFINDOR
Гарри Поттер/GRYFFINDOR
Джимми Пикс/GRYFFINDOR
Демельза Робинс/GRYFFINDOR
Кеннет Таулер/GRYFFINDOR
Дин Томас/GRYFFINDOR
Эмили Тэйлор/GRYFFINDOR
Джек Слоупер/GRYFFINDOR
Алисия Спиннет/GRYFFINDOR
Джинни Уизли/GRYFFINDOR
Джордж Уизли/GRYFFINDOR
Перси Уизли /GRYFFINDOR
Рон Уизли/GRYFFINDOR
Фред Уизли/GRYFFINDOR
Найджел Уолперт/GRYFFINDOR
Симус Финниган/GRYFFINDOR
Викки Фробишер/GRYFFINDOR
Джеффри Хупер/GRYFFINDOR
Юан Аберкромби/GRYFFINDOR
Деннис Алдермастон/RAVENCLAW
Стюарт Акерли/RAVENCLAW
Маркус Белби/RAVENCLAW
Мэнди Броклхерст/RAVENCLAW
Терри Бут/RAVENCLAW
Энтони Голдстейн/RAVENCLAW
Роджер Дэвис/RAVENCLAW
Дункан Инглби/RAVENCLAW
Майкл Корнер/RAVENCLAW
Эдди Кармайкл/RAVENCLAW
Пенелопа Кристал/RAVENCLAW
Полумна Лавгуд/RAVENCLAW
Падма Патил/RAVENCLAW
Грант Пейдж/RAVENCLAW
Орла Свирк/RAVENCLAW
Джереми Стреттон/RAVENCLAW
Джейсон Сэмюэлс/RAVENCLAW
Лайза Турпин/RAVENCLAW
Роберт Хиллиард /RAVENCLAW
Чжоу Чанг/RAVENCLAW
Мариэтта Эджком/RAVENCLAW
Ханна Аббот/HUFFLEPUFF
Сьюзен Боунс/HUFFLEPUFF
Элеонора Брэнстоун/HUFFLEPUFF
Меган Джонс/HUFFLEPUFF
Седрик Диггори/HUFFLEPUFF
Оуэн Колдуэл/HUFFLEPUFF
Эрни Макмиллан/HUFFLEPUFF
Хейди Макэвой/HUFFLEPUFF
Лаура Мэдли/HUFFLEPUFF
Максин О'Флаэрти/HUFFLEPUFF
Малькольм Прис/HUFFLEPUFF
Энтони Рикетт/HUFFLEPUFF
Эллина Роман/HUFFLEPUFF
Захария Смит/HUFFLEPUFF
Габриэль Трумэн/HUFFLEPUFF
Кевин Уитби/HUFFLEPUFF
Джастин Финч-Флетчли/HUFFLEPUFF
Герберт Флит/HUFFLEPUFF
Беатрис Хейвуд/HUFFLEPUFF
Уэйн Хопкинс/HUFFLEPUFF
Роза Целлер/HUFFLEPUFF
Тамсин Эпплби/HUFFLEPUFF
